,weight_2023,pitax_2023,total_income_2023,weight_2024,pitax_2024,total_income_2024,weight_2025,pitax_2025,total_income_2025,weight_2026,pitax_2026,total_income_2026,weight_2027,pitax_2027,total_income_2027,weight_ref_2027,pitax_ref_2027,total_income_ref_2027,weight_ref_2028,pitax_ref_2028,total_income_ref_2028,weight_ref_2029,pitax_ref_2029,total_income_ref_2029,weight_ref_2030,pitax_ref_2030,total_income_ref_2030,weight_ref_2031,pitax_ref_2031,total_income_ref_2031,weight_ref_2032,pitax_ref_2032,total_income_ref_2032,ETR,ETR_ref
68,"23,656.4691","3,618.0000","20,399.0000","21,074.1616","3,841.0000","20,353.0000","21,074.1616","4,475.0000","22,592.0000","21,074.1616","5,180.0000","25,077.0000","21,074.1616","5,963.0000","27,836.0000","21,074.1616","6,016.0000","27,836.0000","21,074.1616","7,062.0000","30,898.0000","21,074.1616","8,229.0000","34,297.0000","21,074.1616","9,527.0000","38,069.0000","21,074.1616","10,968.0000","42,257.0000","21,074.1616","12,578.0000","46,905.0000",0.2142,0.2161
69,"23,681.8244","3,825.0000","21,120.0000","21,096.7491","4,048.0000","21,073.0000","21,096.7491","4,705.0000","23,391.0000","21,096.7491","5,436.0000","25,963.0000","21,096.7491","6,247.0000","28,819.0000","21,096.7491","6,352.0000","28,819.0000","21,096.7491","7,441.0000","31,990.0000","21,096.7491","8,651.0000","35,508.0000","21,096.7491","9,993.0000","39,414.0000","21,096.7491","11,485.0000","43,750.0000","21,096.7491","13,157.0000","48,562.0000",0.2168,0.2204
70,"23,681.8244","3,924.0000","21,397.0000","21,096.7491","4,145.0000","21,349.0000","21,096.7491","4,812.0000","23,697.0000","21,096.7491","5,552.0000","26,304.0000","21,096.7491","6,374.0000","29,198.0000","21,096.7491","6,500.0000","29,198.0000","21,096.7491","7,606.0000","32,409.0000","21,096.7491","8,835.0000","35,974.0000","21,096.7491","10,200.0000","39,932.0000","21,096.7491","11,715.0000","44,324.0000","21,096.7491","13,411.0000","49,200.0000",0.2183,0.2226
71,"23,681.8244","4,038.0000","21,856.0000","21,096.7491","4,260.0000","21,807.0000","21,096.7491","4,940.0000","24,206.0000","21,096.7491","5,695.0000","26,868.0000","21,096.7491","6,535.0000","29,824.0000","21,096.7491","6,699.0000","29,824.0000","21,096.7491","7,825.0000","33,104.0000","21,096.7491","9,075.0000","36,746.0000","21,096.7491","10,464.0000","40,788.0000","21,096.7491","12,011.0000","45,274.0000","21,096.7491","13,746.0000","50,255.0000",0.2191,0.2246
72,"23,681.8244","4,234.0000","22,470.0000","21,096.7491","4,457.0000","22,419.0000","21,096.7491","5,161.0000","24,885.0000","21,096.7491","5,942.0000","27,623.0000","21,096.7491","6,809.0000","30,661.0000","21,096.7491","7,026.0000","30,661.0000","21,096.7491","8,191.0000","34,034.0000","21,096.7491","9,485.0000","37,778.0000","21,096.7491","10,923.0000","41,933.0000","21,096.7491","12,526.0000","46,546.0000","21,096.7491","14,321.0000","51,666.0000",0.2221,0.2292
73,"23,681.8244","4,412.0000","23,073.0000","21,096.7491","4,633.0000","23,021.0000","21,096.7491","5,355.0000","25,553.0000","21,096.7491","6,157.0000","28,364.0000","21,096.7491","7,048.0000","31,484.0000","21,096.7491","7,315.0000","31,484.0000","21,096.7491","8,511.0000","34,948.0000","21,096.7491","9,840.0000","38,792.0000","21,096.7491","11,317.0000","43,059.0000","21,096.7491","12,969.0000","47,795.0000","21,096.7491","14,811.0000","53,053.0000",0.2239,0.2323
74,"23,656.4691","4,593.0000","23,565.0000","21,074.1616","4,814.0000","23,511.0000","21,074.1616","5,556.0000","26,098.0000","21,074.1616","6,380.0000","28,968.0000","21,074.1616","7,297.0000","32,155.0000","21,074.1616","7,612.0000","32,155.0000","21,074.1616","8,842.0000","35,692.0000","21,074.1616","10,208.0000","39,618.0000","21,074.1616","11,727.0000","43,976.0000","21,074.1616","13,422.0000","48,814.0000","21,074.1616","15,310.0000","54,183.0000",0.2269,0.2367
75,"23,681.8244","4,749.0000","24,215.0000","21,096.7491","4,970.0000","24,160.0000","21,096.7491","5,729.0000","26,817.0000","21,096.7491","6,572.0000","29,767.0000","21,096.7491","7,509.0000","33,042.0000","21,096.7491","7,876.0000","33,042.0000","21,096.7491","9,133.0000","36,676.0000","21,096.7491","10,529.0000","40,711.0000","21,096.7491","12,082.0000","45,189.0000","21,096.7491","13,825.0000","50,160.0000","21,096.7491","15,765.0000","55,677.0000",0.2273,0.2384
76,"23,681.8244","4,931.0000","24,851.0000","21,096.7491","5,150.0000","24,795.0000","21,096.7491","5,928.0000","27,522.0000","21,096.7491","6,792.0000","30,550.0000","21,096.7491","7,751.0000","33,910.0000","21,096.7491","8,168.0000","33,910.0000","21,096.7491","9,457.0000","37,640.0000","21,096.7491","10,887.0000","41,781.0000","21,096.7491","12,484.0000","46,376.0000","21,096.7491","14,276.0000","51,478.0000","21,096.7491","16,267.0000","57,140.0000",0.2286,0.2409
77,"23,681.8244","5,042.0000","25,440.0000","21,096.7491","5,260.0000","25,383.0000","21,096.7491","6,050.0000","28,175.0000","21,096.7491","6,927.0000","31,274.0000","21,096.7491","7,902.0000","34,714.0000","21,096.7491","8,356.0000","34,714.0000","21,096.7491","9,664.0000","38,533.0000","21,096.7491","11,116.0000","42,771.0000","21,096.7491","12,739.0000","47,476.0000","21,096.7491","14,558.0000","52,698.0000","21,096.7491","16,583.0000","58,495.0000",0.2276,0.2407
78,"23,681.8244","5,355.0000","26,193.0000","21,096.7491","5,576.0000","26,134.0000","21,096.7491","6,402.0000","29,008.0000","21,096.7491","7,321.0000","32,199.0000","21,096.7491","8,341.0000","35,741.0000","21,096.7491","8,876.0000","35,741.0000","21,096.7491","10,245.0000","39,673.0000","21,096.7491","11,765.0000","44,037.0000","21,096.7491","13,464.0000","48,881.0000","21,096.7491","15,356.0000","54,258.0000","21,096.7491","17,461.0000","60,226.0000",0.2334,0.2483
79,"23,669.1468","5,580.0000","26,973.0000","21,085.4554","5,798.0000","26,912.0000","21,085.4554","6,649.0000","29,872.0000","21,085.4554","7,593.0000","33,158.0000","21,085.4554","8,642.0000","36,806.0000","21,085.4554","9,245.0000","36,806.0000","21,085.4554","10,653.0000","40,854.0000","21,085.4554","12,221.0000","45,348.0000","21,085.4554","13,979.0000","50,337.0000","21,085.4554","15,937.0000","55,874.0000","21,085.4554","18,111.0000","62,020.0000",0.2348,0.2512
80,"23,681.8244","5,701.0000","27,706.0000","21,096.7491","5,919.0000","27,643.0000","21,096.7491","6,783.0000","30,684.0000","21,096.7491","7,742.0000","34,059.0000","21,096.7491","8,809.0000","37,805.0000","21,096.7491","9,451.0000","37,805.0000","21,096.7491","10,882.0000","41,964.0000","21,096.7491","12,479.0000","46,580.0000","21,096.7491","14,274.0000","51,704.0000","21,096.7491","16,271.0000","57,391.0000","21,096.7491","18,491.0000","63,704.0000",0.2330,0.2500
